symbol,open_time,balance,equity,drawdown
SOLUSDT,2025-09-18T06:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T07:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T07:15:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T07:30:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T07:45:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T08:00:00+00:00,4518.89895316,4518.89895316,-484.59579703
SOLUSDT,2025-09-18T08:15:00+00:00,4518.89895316,4513.17564688,-490.31910331
SOLUSDT,2025-09-18T08:30:00+00:00,4518.89895316,4522.18237107,-481.31237912
SOLUSDT,2025-09-18T08:45:00+00:00,4518.89895316,4537.58096402,-465.91378616
SOLUSDT,2025-09-18T09:00:00+00:00,4518.89895316,4516.37158127,-487.12316892
SOLUSDT,2025-09-18T09:15:00+00:00,4518.89895316,4527.99316086,-475.50158933
SOLUSDT,2025-09-18T09:30:00+00:00,4518.89895316,4515.4999628,-487.99478739
SOLUSDT,2025-09-18T09:45:00+00:00,4518.89895316,4539.32420096,-464.17054922
SOLUSDT,2025-09-18T10:00:00+00:00,4518.89895316,4522.18237107,-481.31237912
SOLUSDT,2025-09-18T10:15:00+00:00,4518.89895316,4491.96626413,-511.52848606
SOLUSDT,2025-09-18T10:30:00+00:00,4518.89895316,4502.71622525,-500.77852494
SOLUSDT,2025-09-18T10:45:00+00:00,4518.89895316,4509.10809402,-494.38665616
SOLUSDT,2025-09-18T11:00:00+00:00,4518.89895316,4526.24992392,-477.24482626
SOLUSDT,2025-09-18T11:15:00+00:00,4518.89895316,4535.5471876,-467.94756259
SOLUSDT,2025-09-18T11:30:00+00:00,4518.89895316,4516.08104178,-487.41370841
SOLUSDT,2025-09-18T11:45:00+00:00,4518.89895316,4506.78377811,-496.71097208
SOLUSDT,2025-09-18T12:00:00+00:00,4518.89895316,4532.6417927,-470.85295749
SOLUSDT,2025-09-18T12:15:00+00:00,4518.89895316,4529.44585831,-474.04889188
SOLUSDT,2025-09-18T12:30:00+00:00,4518.89895316,4515.79050229,-487.7042479
SOLUSDT,2025-09-18T12:45:00+00:00,4518.89895316,4508.81755453,-494.67719565
SOLUSDT,2025-09-18T13:00:00+00:00,4518.89895316,4529.15531882,-474.33943137
SOLUSDT,2025-09-18T13:15:00+00:00,4518.89895316,4546.00660923,-457.48814096
SOLUSDT,2025-09-18T13:30:00+00:00,4518.89895316,4502.42568576,-501.06906443
SOLUSDT,2025-09-18T13:45:00+00:00,4518.89895316,4512.01348892,-491.48126127
SOLUSDT,2025-09-18T14:00:00+00:00,4518.89895316,4528.28370035,-475.21104984
SOLUSDT,2025-09-18T14:15:00+00:00,4518.89895316,4551.23632005,-452.25843014
SOLUSDT,2025-09-18T14:30:00+00:00,4518.89895316,4537.87150351,-465.62324667
SOLUSDT,2025-09-18T14:45:00+00:00,4518.89895316,4557.91872831,-445.57602188
SOLUSDT,2025-09-18T15:00:00+00:00,4518.89895316,4551.23632005,-452.25843014
SOLUSDT,2025-09-18T15:15:00+00:00,4518.89895316,4577.96595311,-425.52879708
SOLUSDT,2025-09-18T15:30:00+00:00,4518.89895316,4567.79707096,-435.69767922
SOLUSDT,2025-09-18T15:45:00+00:00,4518.89895316,4572.73624229,-430.7585079
SOLUSDT,2025-09-18T16:00:00+00:00,4518.89895316,4587.26321678,-416.23153341
SOLUSDT,2025-09-18T16:15:00+00:00,4518.89895316,4580.58080851,-422.91394167
SOLUSDT,2025-09-18T16:30:00+00:00,4518.89895316,4593.94562505,-409.54912514
SOLUSDT,2025-09-18T16:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T17:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T17:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T17:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T17:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T18:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T18:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T18:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T18:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T19:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T19:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T19:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T19:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T20:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T20:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T20:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T20:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T21:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T21:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T21:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T21:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T22:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T22:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T22:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T22:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T23:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T23:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T23:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-18T23:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T00:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T00:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T00:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T00:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T01:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T01:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T01:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T01:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T02:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T02:15:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T02:30:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T02:45:00+00:00,4622.48072024,4622.48072024,-381.01402995
SOLUSDT,2025-09-19T03:00:00+00:00,4622.48072024,4622.48072024,-381.01402995
